WeaponType,Set,REQ Level,REQ STR,REQ Job,Attack Speed,STR,DEX,Weapon Attack,Boss Damage,Ignored Enemy Defense,Number of Upgrades
One Handed Swords,Utgard,150,450,Warrior,Fast (5),40,40,164,30,10,8
Long Swords,Lazuli,200,600,Zero Alpha,Normal (6),150,150,337,30,20,0,"This weapon is upgraded as you complete specific quests to unseal the Genesis Weapon.|After completing the quest |[Genesis Weapon] Power Unbound, Stage 1|, the weapon will be unsealed with the |Tanadian Ruin| Skill unlocked.|After completing the quest |[Genesis Weapon] Power Unbound, Stage 2|, the following upgrades will be applied:
|Complete scrolling with Spell Trace 15% Weapon Enhancements (cannot be changed)|
|22 Star Force Enhancements (cannot be changed)|
|Unique Potential (can be changed)|
|Epic Bonus Potential (can be changed)|
|Unlocked |Aeonian Rise| Skill",
One Handed Axes,Utgard,200,600,Warrior,Fast (5),150,150,326,30,20,None,"When attacking |Mammal|-type enemies:
|Damage: +20%|
|When your job is |Demon Slayer IV|:
|
|Critical Rate: +5%|
|Critical Damage: +10%|
|When Diligence EXP is 320 (Lv. 6, 65 Points) or higher:
|
|Has a 3% chance to deal 10% extra damage on boss monsters.","500,000"
One Handed Swords,Utgard,200,600,Warrior,Fast (5),100,100,283,30,20,8,"When attacking |Mammal|-type enemies:
|Damage: +20%|
|When your job is |Mihile IV| or |Paladin IV|:
|
|Critical Rate: +5%|
|Critical Damage: +10%|
|When Diligence EXP is 320 (Lv. 6, 65 Points) or higher:
|
|Has a 3% chance to deal 10% extra damage on boss monsters.","500,000"
One Handed Swords,Utgard,200,600,Warrior,Fast (5),100,100,283,30,20,8,"When attacking |Mammal|-type enemies:
|Damage: +20%|
|When your job is |Mihile IV| or |Paladin IV|:
|
|Critical Rate: +5%|
|Critical Damage: +10%|
|When Diligence EXP is 320 (Lv. 6, 65 Points) or higher:
|
|Has a 3% chance to deal 10% extra damage on boss monsters.","500,000"
One Handed Swords,Utgard,200,600,Warrior,Fast (5),100,100,283,30,20,8,"When attacking |Mammal|-type enemies:
|Damage: +20%|
|When your job is |Mihile IV| or |Paladin IV|:
|
|Critical Rate: +5%|
|Critical Damage: +10%|
|When Diligence EXP is 320 (Lv. 6, 65 Points) or higher:
|
|Has a 3% chance to deal 10% extra damage on boss monsters.","500,000"
One Handed Axes,Utgard,110,300,Warrior,Normal (6),5,5,111,30,10,8,"When attacking |Mammal|-type enemies:
|Damage: +20%|
|When your job is |Demon Slayer|:
|
|Critical Rate: +5%|
|Critical Damage: +10%|
|When Diligence EXP is 100 (Level 3, 20 Points) or higher:
|
|Has a 3% chance to to deal 10% extra damage on boss monsters","500,000"
One Handed Swords,Utgard,200,600,Warrior,Fast (5),100,100,283,30,20,8,"When attacking |Mammal|-type enemies:
|Damage: +20%|
|When your job is |Mihile IV| or |Paladin IV|:
|
|Critical Rate: +5%|
|Critical Damage: +10%|
|When Diligence EXP is 320 (Lv. 6, 65 Points) or higher:
|
|Has a 3% chance to deal 10% extra damage on boss monsters.","500,000"
One Handed Axes,Utgard,110,300,Warrior,Normal (6),5,5,111,30,10,8,"When attacking |Mammal|-type enemies:
|Damage: +20%|
|When your job is |Demon Slayer|:
|
|Critical Rate: +5%|
|Critical Damage: +10%|
|When Diligence EXP is 100 (Level 3, 20 Points) or higher:
|
|Has a 3% chance to to deal 10% extra damage on boss monsters","500,000"
One Handed Axes,Utgard,110,300,Warrior,Normal (6),5,5,111,30,10,8,"When attacking |Mammal|-type enemies:
|Damage: +20%|
|When your job is |Demon Slayer|:
|
|Critical Rate: +5%|
|Critical Damage: +10%|
|When Diligence EXP is 100 (Level 3, 20 Points) or higher:
|
|Has a 3% chance to to deal 10% extra damage on boss monsters","500,000"
Heavy Swords,Lapis,140,400,Zero Beta,Slow (8),8,4,121,30,10,8,,
